id,es,en,de,it,EXPLANATIONS
PLAY_GAME,Jugar,Play,Starten,Gioca,
SETTINGS,Ajustes,Settings,Optionen,Opzioni,
ABOUT,Info,About,Über,Info,
SWITCH_SCREEN_CONTROLS,Usar botones táctiles,Use onscreen controls,Touch-Steuerung anzeigen,Controlli touch,
SWITCH_RETRO_EFFECT,Simular pantalla retro,Simulate retro TV,Röhrenfernseher simulieren,Simula retro TV,
SWITCH_MUSIC,Música,Music,Musik,Musica,
SWITCH_SOUND,Sonidos,Sound,Ton,Suoni,
BTTN_BACK,Volver,Back,Zurück,Indietro,
TEXT_LICENSE,"El código fuente de este juego está licenciado bajo Geneal Public License versión 3. Todos los recursos gráficos, sonidos y música han sido creados por nosotros y están licenciados como Creative Commons Attribution-Non Commercial-Share Alike 4.0. La tipografía utilizada es Press Start 2P creada por CodeMan38 (Open Font License)

Puedes obtener el código fuente y los recusos en gitlab.com/dariasteam/cows-revenge

Hecho en Godot Engine 2.1.5 (MIT)","This game's code is licensed as General Public License version 3. All the graphics, sounds and music resources were made by us and are published as Creative Commons Attribution-Non Commercial-Share Alike 4.0 International. Font is Press Start 2P by CodeMan38 (Open Font License)

You can get the source code and assets at gitlab.com/dariasteam/cows-revenge

Made with Godot Engine 2.1.5 (MIT)
","Der Code dieses Spiels ist unter der General Public License Version 3 lizensiert. Alle Grafiken, Klänge und Musikstücke wurden von uns erstellt und unter Creative Commons Attribution-Non Commercial-Share Alike 4.0 International veröffentlicht. Als Schriftart wird Press Start 2P von CodeMan38 unter der Open Font License verwendet.

Der Quell-Code und alle weiteren Materialien stehen unter gitlab.com/dariasteam/cows-revenge zur Verfügung.

Erstellt mit Godot Engine 2.1.5 (MIT)","Il codice di questo gioco è sotto la licenza General Public License version 3. Tutta la grafica, i suoni e la musica di questo gioco sono stati fatti da noi e sono rilasciati sotto la licenza Creative Commons Attribution-Non Commercial-Share Alike 4.0 International. Il font è Press Start 2P by CodeMan38 (Open Font License)

Puoi trovare i sorgenti su gitlab.com/dariasteam/cows-revenge

Creato con Godot Engine 2.1.5 (MIT)
",
CHAPTERS,Capítulos,Chapters,Kapitel,Capitoli,
EP1,La escuela,The school,Die Schule,La scuola,
EP2,Gatear antes de caminar,Crawl before you walk,"Erst krabbeln, dann laufen",Gattona prima di camminare,
EP3,Independizándose,Independence,Unabhängigkeit,Indipendenza,
EP4,Una ubre y sus consecuencias,An udder and her consequences,Ein Euter und seine Folgen,Una mammella e le sue conseguenze,
EP5,Siempre fiel,Always faithful,Immer treu,Sempre fedele,
EP6,Ucronía,Uchronia,Uchronie,Ucronía,
EP7,Sístole y Diástole,Systole and Diastole,Systole und Diastole,Sistole e Diastole,
EP8,Anfibios,Amphibious,Amphibisch,Anfibio,
EP9,R.U.B.E.N,R.U.B.E.N,R.U.B.E.N,R.U.B.E.N,
